Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003
"06051","05000US06051","Mono County","Mono County, California","ca","050","00","ACSSF","0000038",,,,,"06","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14174,4.648758,3048.98658063281
"06053","05000US06053","Monterey County","Monterey County, California","ca","050","00","ACSSF","0000039",,,,,"06","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433212,132.0076,3281.72052071284
"06055","05000US06055","Napa County","Napa County, California","ca","050","00","ACSSF","0000040",,,,,"06","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140530,187.7965,748.310098734048
"06057","05000US06057","Nevada County","Nevada County, California","ca","050","00","ACSSF","0000041",,,,,"06","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99092,103.4622,957.760137884809
"06059","05000US06059","Orange County","Orange County, California","ca","050","00","ACSSF","0000042",,,,,"06","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164182,3991.241,792.781557289068
"06061","05000US06061","Placer County","Placer County, California","ca","050","00","ACSSF","0000043",,,,,"06","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380077,270.1172,1407.08195404766
"06063","05000US06063","Plumas County","Plumas County, California","ca","050","00","ACSSF","0000044",,,,,"06","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18699,7.324145,2553.06246669869
"06065","05000US06065","Riverside County","Riverside County, California","ca","050","00","ACSSF","0000045",,,,,"06","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383286,330.7107,7206.55872073539
"06067","05000US06067","Sacramento County","Sacramento County, California","ca","050","00","ACSSF","0000046",,,,,"06","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510023,1564.069,965.445016733668
"06069","05000US06069","San Benito County","San Benito County, California","ca","050","00","ACSSF","0000047",,,,,"06","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59416,42.78683,1388.65164780686
"06071","05000US06071","San Bernardino County","San Bernardino County, California","ca","050","00","ACSSF","0000048",,,,,"06","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135413,106.4518,20059.8986929669
"06073","05000US06073","San Diego County","San Diego County, California","ca","050","00","ACSSF","0000049",,,,,"06","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3302833,784.7512,4208.7642722669
"06075","05000US06075","San Francisco County","San Francisco County, California","ca","050","00","ACSSF","0000050",,,,,"06","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870044,18565.53,46.863414038984
"06077","05000US06077","San Joaquin County","San Joaquin County, California","ca","050","00","ACSSF","0000051",,,,,"06","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732212,525.8685,1392.38600333283
"06079","05000US06079","San Luis Obispo County","San Luis Obispo County, California","ca","050","00","ACSSF","0000052",,,,,"06","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281455,85.27292,3300.63772341802
"06081","05000US06081","San Mateo County","San Mateo County, California","ca","050","00","ACSSF","0000053",,,,,"06","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765935,1707.255,448.63550564713
"06083","05000US06083","Santa Barbara County","Santa Barbara County, California","ca","050","00","ACSSF","0000054",,,,,"06","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443738,162.236,2735.13881299836
"06085","05000US06085","Santa Clara County","Santa Clara County, California","ca","050","00","ACSSF","0000055",,,,,"06","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922200,1488.824,1291.0857409378
"06087","05000US06087","Santa Cruz County","Santa Cruz County, California","ca","050","00","ACSSF","0000056",,,,,"06","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273765,615.0306,445.124187447973
"06089","05000US06089","Shasta County","Shasta County, California","ca","050","00","ACSSF","0000057",,,,,"06","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179085,47.43476,3775.39597557981
"06091","05000US06091","Sierra County","Sierra County, California","ca","050","00","ACSSF","0000058",,,,,"06","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2930,3.073959,953.168326648618
"06093","05000US06093","Siskiyou County","Siskiyou County, California","ca","050","00","ACSSF","0000059",,,,,"06","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43540,6.934482,6278.76772247593
"06095","05000US06095","Solano County","Solano County, California","ca","050","00","ACSSF","0000060",,,,,"06","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438530,533.6525,821.751946341064
"06097","05000US06097","Sonoma County","Sonoma County, California","ca","050","00","ACSSF","0000061",,,,,"06","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501317,318.1202,1575.8726295257
"06099","05000US06099","Stanislaus County","Stanislaus County, California","ca","050","00","ACSSF","0000062",,,,,"06","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539301,360.4915,1496.01577767928
"06101","05000US06101","Sutter County","Sutter County, California","ca","050","00","ACSSF","0000063",,,,,"06","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95872,159.1156,602.530420990367
"06103","05000US06103","Tehama County","Tehama County, California","ca","050","00","ACSSF","0000064",,,,,"06","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63373,21.48866,2949.13682688877
"06105","05000US06105","Trinity County","Trinity County, California","ca","050","00","ACSSF","0000065",,,,,"06","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12862,4.045586,3179.26765992738
"06107","05000US06107","Tulare County","Tulare County, California","ca","050","00","ACSSF","0000066",,,,,"06","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460477,95.44794,4824.37892376335
"06109","05000US06109","Tuolumne County","Tuolumne County, California","ca","050","00","ACSSF","0000067",,,,,"06","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53932,24.28395,2220.89035161553
"06111","05000US06111","Ventura County","Ventura County, California","ca","050","00","ACSSF","0000068",,,,,"06","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848112,460.3132,1842.46742147068
"06113","05000US06113","Yolo County","Yolo County, California","ca","050","00","ACSSF","0000069",,,,,"06","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214977,211.8559,1014.73236169434
"06115","05000US06115","Yuba County","Yuba County, California","ca","050","00","ACSSF","0000070",,,,,"06","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75493,119.4479,632.015975363592
